"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÃˆFON RESP. 1","05_MÃ’BIL RESP. 1","06_ADREÃ‡A ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÃˆFON RESP. 2","09_MÃ’BIL RESP. 2","10_ADREÃ‡A ELECTR. RESP. 2","11_ADREÃ‡A","12_LOCALITAT","13_CORREU ELECTRÃ’NIC","14_ALTRES TELÃˆFONS","15_CENTRE PROCEDÃˆNCIA","16_GRUPSCLASSE"
"1","27253740945","Farre Vidal, Pol","01/04/1999","Contreras Bueno, Unai","+34 XXXXXXX","+34 XXXXXXX","c/ del General Valentina Sancho Pastor","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Valentina Sancho Pastor","L'Armentera","pol@mailintaor.com","","La Salle","ESO1A"
"1","62371657314","Jurado Valencia, Ainhoa","01/03/1994","Pla Gimenez, David","+34 XXXXXXX","+34 XXXXXXX","c/ del General Mireia Iglesias Lorenzo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Mireia Iglesias Lorenzo","L'Armentera","ainhoa@mailintaor.com","","La Salle","ESO1A"
"1","87933000815","Escudero Ramos, Jaume","25/12/1991","Simon Carreras, Ferran","+34 XXXXXXX","+34 XXXXXXX","c/ del General Sergi Pujol Busquets","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Sergi Pujol Busquets","L'Armentera","jaume@mailintaor.com","","La Salle","ESO1A"
"1","40453944741","Gallego Herrero, Cristina","28/01/1998","Soler Bueno, Anna","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ferran Vidal Alcaraz","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","anna@mailintaor.com","c/ de l'aviador Ferran Vidal Alcaraz","L'Armentera","cristina@mailintaor.com","","La Salle","ESO1A"
"1","44729629996","Romero Piñol, Mar","31/07/1995","Pozo Lazaro, Oriol","+34 XXXXXXX","+34 XXXXXXX","c/ del General Berta Peña Bosch","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","oriol@mailintaor.com","c/ de l'aviador Berta Peña Bosch","L'Armentera","mar@mailintaor.com","","La Salle","ESO1A"
"1","51688629004","Aparicio Paredes, Leire","11/10/1994","Sierra Ramon, Rayan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elsa Arenas Franco","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","rayan@mailintaor.com","c/ de l'aviador Elsa Arenas Franco","L'Armentera","leire@mailintaor.com","","La Salle","ESO1A"
"1","93815212639","Dalmau Miranda, Adrián","15/08/1995","Mateu Merino, Adrián","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ismael Bernal Campos","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","adrian@mailintaor.com","c/ de l'aviador Ismael Bernal Campos","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1A"
"1","26988847603","Carrillo Bravo, Lucía","07/02/1999","Lorente Caballero, Iris","+34 XXXXXXX","+34 XXXXXXX","c/ del General Jan Villanueva Lazaro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Jan Villanueva Lazaro","L'Armentera","lucia@mailintaor.com","","La Salle","ESO1A"
"1","79585059877","Comas Ramirez, Ismael","03/02/1994","Royo Sans, Clara","+34 XXXXXXX","+34 XXXXXXX","c/ del General Andrea Egea Aranda","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Andrea Egea Aranda","L'Armentera","ismael@mailintaor.com","","La Salle","ESO1A"
"1","87641311033","Castells Requena, Daniela","24/05/1990","Lopez Garriga, Izan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Laia Navarro Arias","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","izan@mailintaor.com","c/ de l'aviador Laia Navarro Arias","L'Armentera","daniela@mailintaor.com","","La Salle","ESO1A"
"1","79036034923","Ortega Mendoza, Carlos","24/04/1995","Lopez Pardo, Ivet","+34 XXXXXXX","+34 XXXXXXX","c/ del General Anna Bertran Guzman","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Anna Bertran Guzman","L'Armentera","carlos@mailintaor.com","","La Salle","ESO1A"
"1","78754349706","Moreno Gallego, Adrián","08/04/1997","Bravo Carrasco, Jaume","+34 XXXXXXX","+34 XXXXXXX","c/ del General Andrea Serrano Galan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Andrea Serrano Galan","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1A"
"1","58535978463","Planas Luna, Alexandra","19/11/1997","Palacios Salvador, Leyre","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elsa Prieto Rueda","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Elsa Prieto Rueda","L'Armentera","alexandra@mailintaor.com","","La Salle","ESO1A"
"1","80510393267","Gil Vargas, Mohamed","11/11/1999","Rubio Alarcon, Iris","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elsa Acosta Pozo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Elsa Acosta Pozo","L'Armentera","mohamed@mailintaor.com","","La Salle","ESO1B"
"1","48053627317","Medina Rosell, Unai","12/10/1997","Pozo Salvador, Leyre","+34 XXXXXXX","+34 XXXXXXX","c/ del General Antonio Benitez Muñoz","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Antonio Benitez Muñoz","L'Armentera","unai@mailintaor.com","","La Salle","ESO1B"
"1","67523920887","Miralles Reyes, Ainara","28/10/1993","Robles Suarez, Quim","+34 XXXXXXX","+34 XXXXXXX","c/ del General Adrián Camps Plaza","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Adrián Camps Plaza","L'Armentera","ainara@mailintaor.com","","La Salle","ESO1B"
"1","37364313984","Vera Carrillo, Iris","12/07/1993","Marin Alonso, Mariona","+34 XXXXXXX","+34 XXXXXXX","c/ del General Antonio Alsina Acosta","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mariona@mailintaor.com","c/ de l'aviador Antonio Alsina Acosta","L'Armentera","iris@mailintaor.com","","La Salle","ESO1B"
"1","62908639326","Ramirez Piñol, Martina","17/06/1998","Arenas Oliva, Judit","+34 XXXXXXX","+34 XXXXXXX","c/ del General Adam Acosta Vives","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Adam Acosta Vives","L'Armentera","martina@mailintaor.com","","La Salle","ESO1B"
"1","18440378572","Riera Silva, José","17/10/1992","Carbonell Espinosa, Eloi","+34 XXXXXXX","+34 XXXXXXX","c/ del General Noa Vargas Calderon","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Noa Vargas Calderon","L'Armentera","jose@mailintaor.com","","La Salle","ESO1B"
"1","78098285689","Roldan Avila, Miquel","03/08/1991","Muñoz Guerra, Albert","+34 XXXXXXX","+34 XXXXXXX","c/ del General Javier Iglesias Camps","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Javier Iglesias Camps","L'Armentera","miquel@mailintaor.com","","La Salle","ESO1B"
"1","68012625090","Rubio Castro, Mireia","31/03/1993","Zamora Serra, Berta","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marina Pujol Sole","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Marina Pujol Sole","L'Armentera","mireia@mailintaor.com","","La Salle","ESO1B"
"1","34822611091","Crespo Izquierdo, Valentina","29/10/1993","Casado Campos, Valentina","+34 XXXXXXX","+34 XXXXXXX","c/ del General Andrea Aguilera Valencia","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","valentina@mailintaor.com","c/ de l'aviador Andrea Aguilera Valencia","L'Armentera","valentina@mailintaor.com","","La Salle","ESO1B"
"1","73735071368","Santiago Mora, Lluc","27/05/1996","Escobar Puig, Judit","+34 XXXXXXX","+34 XXXXXXX","c/ del General Isaac Viñas Blasco","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Isaac Viñas Blasco","L'Armentera","lluc@mailintaor.com","","La Salle","ESO1B"
"1","73126223741","Valle Alba, Nerea","16/02/1998","Vidal Exposito, Ferran","+34 XXXXXXX","+34 XXXXXXX","c/ del General Nerea Hurtado Miralles","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Nerea Hurtado Miralles","L'Armentera","nerea@mailintaor.com","","La Salle","ESO1B"
"1","36287222668","Ortega Garcia, Aya","12/05/1995","Plaza Grau, Guillem","+34 XXXXXXX","+34 XXXXXXX","c/ del General Leo Pacheco Garcia","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Leo Pacheco Garcia","L'Armentera","aya@mailintaor.com","","La Salle","ESO1B"
"1","39415965338","Castillo Macias, Elsa","23/12/1993","Nieto Marcos, Berta","+34 XXXXXXX","+34 XXXXXXX","c/ del General Lucas Singh Valencia","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Lucas Singh Valencia","L'Armentera","elsa@mailintaor.com","","La Salle","ESO1B"
"1","93050032226","Carrera Rubio, Ferran","08/11/1994","Prieto Fuentes, Irene","+34 XXXXXXX","+34 XXXXXXX","c/ del General Iker Domenech Duran","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","irene@mailintaor.com","c/ de l'aviador Iker Domenech Duran","L'Armentera","ferran@mailintaor.com","","La Salle","ESO1B"
"1","55829072737","Delgado Carmona, Guillem","08/04/1996","Lozano Redondo, Abril","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ismael Guzman Camps","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","abril@mailintaor.com","c/ de l'aviador Ismael Guzman Camps","L'Armentera","guillem@mailintaor.com","","La Salle","ESO1B"
"1","83682471959","Rueda Casals, Roc","01/03/1997","Carreras Parra, Gisela","+34 XXXXXXX","+34 XXXXXXX","c/ del General Laura Escudero Luque","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Laura Escudero Luque","L'Armentera","roc@mailintaor.com","","La Salle","ESO1B"
"1","85205198654","Esteve Roig, Judith","18/05/1996","Suarez Pons, Roger","+34 XXXXXXX","+34 XXXXXXX","c/ del General Gerard Sala Moreno","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","roger@mailintaor.com","c/ de l'aviador Gerard Sala Moreno","L'Armentera","judith@mailintaor.com","","La Salle","ESO1B"
"1","65967748543","Cruz Roman, Ian","13/06/1994","Martos Suarez, Jan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Albert Cardona Esteve","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Albert Cardona Esteve","L'Armentera","ian@mailintaor.com","","La Salle","ESO1B"
"1","81238382195","Escobar Lara, Pol","06/07/1990","Lozano Mateo, Clara","+34 XXXXXXX","+34 XXXXXXX","c/ del General Nerea Pujol Sala","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Nerea Pujol Sala","L'Armentera","pol@mailintaor.com","","La Salle","ESO1B"
"1","17754094468","Padilla Borras, Sergio","14/01/1998","Galan Capdevila, Pau","+34 XXXXXXX","+34 XXXXXXX","c/ del General Helena Reyes Cabrera","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Helena Reyes Cabrera","L'Armentera","sergio@mailintaor.com","","La Salle","ESO1B"
"1","41764094490","Alvarez Campos, Gisela","24/07/1997","Suarez Nieto, Alexandra","+34 XXXXXXX","+34 XXXXXXX","c/ del General Gerard Manzano Torrent","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Gerard Manzano Torrent","L'Armentera","gisela@mailintaor.com","","La Salle","ESO1B"
"1","49841225957","Delgado Ventura, Ainhoa","11/07/1999","Sola Rivas, Alejandro","+34 XXXXXXX","+34 XXXXXXX","c/ del General Carlota Valero Franco","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Carlota Valero Franco","L'Armentera","ainhoa@mailintaor.com","","La Salle","ESO1B"
"1","74608377397","Romero Esteve, Pol","10/03/1990","Carrasco Cuevas, Carlos","+34 XXXXXXX","+34 XXXXXXX","c/ del General Mohamed Benito Iglesias","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Mohamed Benito Iglesias","L'Armentera","pol@mailintaor.com","","La Salle","ESO1B"
"1","93530032021","Vazquez Castells, Cristina","16/06/1992","Salazar Bernal, Rayan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Jan Miguel Prieto","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","rayan@mailintaor.com","c/ de l'aviador Jan Miguel Prieto","L'Armentera","cristina@mailintaor.com","","La Salle","ESO1B"
"1","84971856624","Miralles Hernandez, Ariadna","12/12/1995","Mir Gracia, Marta","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elena Ribera Caballero","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Elena Ribera Caballero","L'Armentera","ariadna@mailintaor.com","","La Salle","ESO1B"
"1","43192192009","Cardona Diez, Gerard","26/02/1994","Lorenzo Plaza, Iker","+34 XXXXXXX","+34 XXXXXXX","c/ del General Albert Miguel Pons","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","iker@mailintaor.com","c/ de l'aviador Albert Miguel Pons","L'Armentera","gerard@mailintaor.com","","La Salle","ESO1C"
"1","33566251386","Cano Paredes, Elsa","14/05/1998","Ordoñez Hidalgo, Ivet","+34 XXXXXXX","+34 XXXXXXX","c/ del General Rayan Vera Juan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ivet@mailintaor.com","c/ de l'aviador Rayan Vera Juan","L'Armentera","elsa@mailintaor.com","","La Salle","ESO1C"
"1","19781005773","Valencia Borras, Adrià","03/05/1991","Collado Bosch, Pol","+34 XXXXXXX","+34 XXXXXXX","c/ del General Guillem Ramon Sola","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Guillem Ramon Sola","L'Armentera","adria@mailintaor.com","","La Salle","ESO1C"
"1","65167120650","Gimenez Ramirez, Daniel","09/06/1991","Lazaro Iglesias, Mar","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ferran Sole Murillo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mar@mailintaor.com","c/ de l'aviador Ferran Sole Murillo","L'Armentera","daniel@mailintaor.com","","La Salle","ESO1C"
"1","78962390449","Mora Asensio, Sergio","04/08/1993","Millan Plaza, Sergio","+34 XXXXXXX","+34 XXXXXXX","c/ del General Pablo Bueno Cuenca","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","sergio@mailintaor.com","c/ de l'aviador Pablo Bueno Cuenca","L'Armentera","sergio@mailintaor.com","","La Salle","ESO1C"
"1","47879706019","Gomez Domingo, Joana","08/06/1997","Hurtado Nuñez, Joel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Eva Fernandez Delgado","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Eva Fernandez Delgado","L'Armentera","joana@mailintaor.com","","La Salle","ESO1C"
"1","31806408467","Aranda Alarcon, Lluc","15/07/1996","Guillen Ponce, Cristina","+34 XXXXXXX","+34 XXXXXXX","c/ del General Emma Izquierdo Bosch","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","cristina@mailintaor.com","c/ de l'aviador Emma Izquierdo Bosch","L'Armentera","lluc@mailintaor.com","","La Salle","ESO1C"
"1","47783828025","Ponce Bosch, Sergio","10/08/1996","Castells Contreras, Ayman","+34 XXXXXXX","+34 XXXXXXX","c/ del General Quim Rodriguez Miro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ayman@mailintaor.com","c/ de l'aviador Quim Rodriguez Miro","L'Armentera","sergio@mailintaor.com","","La Salle","ESO1C"
"1","22869605200","Ribas Gomez, Víctor","15/02/1999","Salazar Aparicio, Arlet","+34 XXXXXXX","+34 XXXXXXX","c/ del General Isaac Blasco Navarro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Isaac Blasco Navarro","L'Armentera","victor@mailintaor.com","","La Salle","ESO1C"
"1","78653418741","Santamaria Gimeno, Emma","19/09/1996","Mora Herrero, Adriana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Helena Benito Esteve","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","adriana@mailintaor.com","c/ de l'aviador Helena Benito Esteve","L'Armentera","emma@mailintaor.com","","La Salle","ESO1C"
"1","94988291532","Marin Vera, Ferran","12/12/1996","Cortes Garrido, Javier","+34 XXXXXXX","+34 XXXXXXX","c/ del General Malak Carbonell Mendez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","javier@mailintaor.com","c/ de l'aviador Malak Carbonell Mendez","L'Armentera","ferran@mailintaor.com","","La Salle","ESO1C"
"1","76763093908","Murillo Valls, Berta","08/11/1990","Bosch Carrasco, Joel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Alejandro Cano Martin","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Alejandro Cano Martin","L'Armentera","berta@mailintaor.com","","La Salle","ESO1C"
"1","28692249512","Galan Juan, Bruna","12/01/1994","Franco Sans, Mireia","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marcos Marquez Calderon","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mireia@mailintaor.com","c/ de l'aviador Marcos Marquez Calderon","L'Armentera","bruna@mailintaor.com","","La Salle","ESO1C"
"1","99616630026","Lazaro Sierra, Unai","24/02/1997","Salvador Prieto, Malak","+34 XXXXXXX","+34 XXXXXXX","c/ del General Aleix Bueno Hernandez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","malak@mailintaor.com","c/ de l'aviador Aleix Bueno Hernandez","L'Armentera","unai@mailintaor.com","","La Salle","ESO1C"
"1","35919766466","Salvador Camacho, Joel","11/11/1996","Soria Moreno, Miguel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Iris Sabate Mendoza","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Iris Sabate Mendoza","L'Armentera","joel@mailintaor.com","","La Salle","ESO1C"
"1","83704687713","Molina Lorente, Pau","23/07/1991","Alba Vives, Samuel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marc Valle Ribera","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","samuel@mailintaor.com","c/ de l'aviador Marc Valle Ribera","L'Armentera","pau@mailintaor.com","","La Salle","ESO1C"
"1","66033884721","Gracia Sole, Adrián","25/08/1994","Bonet Sola, Inés","+34 XXXXXXX","+34 XXXXXXX","c/ del General Leyre Parra Garcia","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Leyre Parra Garcia","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1C"
"1","41390466495","Vazquez Pujol, Arlet","12/07/1990","Galan Guillen, Bruna","+34 XXXXXXX","+34 XXXXXXX","c/ del General Aleix Nuñez Millan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","bruna@mailintaor.com","c/ de l'aviador Aleix Nuñez Millan","L'Armentera","arlet@mailintaor.com","","La Salle","ESO1C"
"1","95017237333","Hernandez Gimenez, Daniel","04/09/1993","Cuenca Ordoñez, Jana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Cristina Sanchez Ros","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jana@mailintaor.com","c/ de l'aviador Cristina Sanchez Ros","L'Armentera","daniel@mailintaor.com","","La Salle","ESO2A"
"1","46089685333","Oliva Ribera, Quim","05/02/1995","Plaza Hernandez, Adrià","+34 XXXXXXX","+34 XXXXXXX","c/ del General Pau Roman Lazaro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Pau Roman Lazaro","L'Armentera","quim@mailintaor.com","","La Salle","ESO2A"
"1","53286376827","Guzman Farre, Lola","26/12/1997","Ventura Galvez, Mohamed","+34 XXXXXXX","+34 XXXXXXX","c/ del General Erik Pozo Miranda","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mohamed@mailintaor.com","c/ de l'aviador Erik Pozo Miranda","L'Armentera","lola@mailintaor.com","","La Salle","ESO2A"
"1","54795334343","Benito Esteban, Jan","07/08/1996","Delgado Pallares, Leire","+34 XXXXXXX","+34 XXXXXXX","c/ del General Alexandra Valle Santiago","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","leire@mailintaor.com","c/ de l'aviador Alexandra Valle Santiago","L'Armentera","jan@mailintaor.com","","La Salle","ESO2A"
"1","39208443260","Silva Merino, Arlet","10/05/1997","Rubio Lopez, Judit","+34 XXXXXXX","+34 XXXXXXX","c/ del General Hugo Pastor Mesa","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Hugo Pastor Mesa","L'Armentera","arlet@mailintaor.com","","La Salle","ESO2A"
"1","91665986425","Sola Sala, Gabriel","02/08/1997","Marco Diaz, Alba","+34 XXXXXXX","+34 XXXXXXX","c/ del General Carlota Plaza Gonzalez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alba@mailintaor.com","c/ de l'aviador Carlota Plaza Gonzalez","L'Armentera","gabriel@mailintaor.com","","La Salle","ESO2A"
"1","48987158442","Pages Lozano, Ivet","17/03/1990","Gomez Castaño, Elsa","+34 XXXXXXX","+34 XXXXXXX","c/ del General Albert Guillen Castro","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","elsa@mailintaor.com","c/ de l'aviador Albert Guillen Castro","L'Armentera","ivet@mailintaor.com","","La Salle","ESO2A"
