"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE","18_DOC. IDENTITAT","19_CP","23_PARENTIU RESP. 1","24_DOC. IDENTITAT RESP. 1","25_ADREÇA RESP. 1","26_LOCALITAT RESP. 1","27_MUNICIPI RESP. 1","28_CP RESP. 1","29_PARENTIU RESP. 2","30_DOC. IDENTITAT RESP. 2","31_ADREÇA RESP. 2","32_LOCALITAT RESP. 2","33_MUNICIPI RESP. 2","34_CP RESP. 2"
"1","42006569689","Castillo Cuenca, Inés","23/11/2011","Simon Sala, Nerea","+34 XXXXXXX","+34 XXXXXXX","nerea@mailintaor.com","Soria Molina, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Alexandra Soria Molina","L'Armentera","Albanyà","ines@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A","78612361D","36480","Mare","72038240R","c/ de l'aviador Alexandra Soria Molina","L'Armentera","Albanyà","59495","Mare","70771926G","c/ de l'aviador Alexandra Soria Molina","L'Armentera","Albanyà","03250"
"1","35778768337","Padilla Soto, Roc","01/01/2011","Garcia Puig, Mariona","+34 XXXXXXX","+34 XXXXXXX","mariona@mailintaor.com","Esteban Santiago, Salma","+34 XXXXZZZZ","+34 XXXXLLL","salma@mailintaor.com","c/ de l'aviador Salma Esteban Santiago","L'Armentera","Albanyà","roc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","75454371M","31315","Pare","72162386X","c/ de l'aviador Salma Esteban Santiago","L'Armentera","Albanyà","68276","Pare","77765884R","c/ de l'aviador Salma Esteban Santiago","L'Armentera","Albanyà","68723"
"1","76801274147","Mas Rubio, Diego","08/10/2005","Nadal Vargas, Hugo","+34 XXXXXXX","+34 XXXXXXX","hugo@mailintaor.com","Mateu Ramon, Aina","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Aina Mateu Ramon","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","70361061G","32242","Mare","72625848D","c/ de l'aviador Aina Mateu Ramon","L'Armentera","Albanyà","06405","Pare","77405041N","c/ de l'aviador Aina Mateu Ramon","L'Armentera","Albanyà","57077"
"1","18787060707","Vazquez Fuentes, Laura","07/01/2008","Pujol Colomer, Rayan","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Vargas Perez, Laura","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Laura Vargas Perez","L'Armentera","Albanyà","laura@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","77327587N","45119","Mare","79461573D","c/ de l'aviador Laura Vargas Perez","L'Armentera","Albanyà","70435","Pare","74248390P","c/ de l'aviador Laura Vargas Perez","L'Armentera","Albanyà","49402"
"1","43017200445","Font Oliva, Miquel","28/06/2007","Alonso Sabate, Ivet","+34 XXXXXXX","+34 XXXXXXX","ivet@mailintaor.com","Pastor Vargas, Adriana","+34 XXXXZZZZ","+34 XXXXLLL","adriana@mailintaor.com","c/ de l'aviador Adriana Pastor Vargas","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","71678992P","76771","Pare","73970717W","c/ de l'aviador Adriana Pastor Vargas","L'Armentera","Albanyà","17203","Pare","77482619Y","c/ de l'aviador Adriana Pastor Vargas","L'Armentera","Albanyà","69689"
"1","61644209869","Exposito Roldan, Cristina","10/11/2005","Cuenca Blanco, Ivet","+34 XXXXXXX","+34 XXXXXXX","ivet@mailintaor.com","Tomas Sole, Isaac","+34 XXXXZZZZ","+34 XXXXLLL","isaac@mailintaor.com","c/ de l'aviador Isaac Tomas Sole","L'Armentera","Albanyà","cristina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","73691380D","46488","Pare","73722336N","c/ de l'aviador Isaac Tomas Sole","L'Armentera","Albanyà","49323","Pare","79060132P","c/ de l'aviador Isaac Tomas Sole","L'Armentera","Albanyà","40598"
"1","87404796647","Romero Pallares, Alan","02/06/2005","Garriga Lorente, Iris","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Castells Hidalgo, Noa","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Noa Castells Hidalgo","L'Armentera","Albanyà","alan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","76031996R","05149","Mare","79087502T","c/ de l'aviador Noa Castells Hidalgo","L'Armentera","Albanyà","36738","Pare","72843123W","c/ de l'aviador Noa Castells Hidalgo","L'Armentera","Albanyà","99433"
"1","24237206622","Linares Bonet, Aitana","14/09/2011","Ruiz Badia, Xavi","+34 XXXXXXX","+34 XXXXXXX","xavi@mailintaor.com","Lara Ramon, Guillem","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Guillem Lara Ramon","L'Armentera","Albanyà","aitana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","76078032G","18153","Pare","78089912G","c/ de l'aviador Guillem Lara Ramon","L'Armentera","Albanyà","22510","Mare","74450245N","c/ de l'aviador Guillem Lara Ramon","L'Armentera","Albanyà","99095"
"1","26377270710","Roca Maldonado, Salma","31/03/2012","Morales Quesada, Jan","+34 XXXXXXX","+34 XXXXXXX","jan@mailintaor.com","Alsina Serra, Judit","+34 XXXXZZZZ","+34 XXXXLLL","judit@mailintaor.com","c/ de l'aviador Judit Alsina Serra","L'Armentera","Albanyà","salma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","74727313B","54816","Pare","70477485T","c/ de l'aviador Judit Alsina Serra","L'Armentera","Albanyà","93766","Mare","70082566P","c/ de l'aviador Judit Alsina Serra","L'Armentera","Albanyà","94817"
"1","94820432391","Moya Silva, Pau","11/04/2012","Valverde Gonzalez, Eva","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Nuñez Domingo, Anna","+34 XXXXZZZZ","+34 XXXXLLL","anna@mailintaor.com","c/ de l'aviador Anna Nuñez Domingo","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","79194167T","77765","Pare","73984653W","c/ de l'aviador Anna Nuñez Domingo","L'Armentera","Albanyà","44536","Mare","70016763B","c/ de l'aviador Anna Nuñez Domingo","L'Armentera","Albanyà","53205"
"1","94197704273","Cuevas Sanz, Anna","10/12/2008","Diaz Escobar, David","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Blanch Marco, Leo","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Leo Blanch Marco","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","78607239D","17144","Mare","78214678D","c/ de l'aviador Leo Blanch Marco","L'Armentera","Albanyà","31051","Mare","74579969D","c/ de l'aviador Leo Blanch Marco","L'Armentera","Albanyà","42144"
"1","52857994567","Quesada Vila, Jordi","30/11/2007","Roman Valencia, Alan","+34 XXXXXXX","+34 XXXXXXX","alan@mailintaor.com","Villanueva Rodriguez, Ona","+34 XXXXZZZZ","+34 XXXXLLL","ona@mailintaor.com","c/ de l'aviador Ona Villanueva Rodriguez","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","70943569P","04586","Mare","76608038T","c/ de l'aviador Ona Villanueva Rodriguez","L'Armentera","Albanyà","86510","Pare","79825301X","c/ de l'aviador Ona Villanueva Rodriguez","L'Armentera","Albanyà","19796"
"1","49250571613","Rivas Franco, Miguel","20/05/2009","Busquets Hidalgo, Paula","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Zamora Franco, Judith","+34 XXXXZZZZ","+34 XXXXLLL","judith@mailintaor.com","c/ de l'aviador Judith Zamora Franco","L'Armentera","Albanyà","miguel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","79534185A","11448","Pare","74561364F","c/ de l'aviador Judith Zamora Franco","L'Armentera","Albanyà","29005","Mare","78121196X","c/ de l'aviador Judith Zamora Franco","L'Armentera","Albanyà","44120"
"1","76470416328","Soler Camps, Ainhoa","20/04/2007","Rojas Palau, Abril","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Padilla Piñol, Adrià","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Adrià Padilla Piñol","L'Armentera","Albanyà","ainhoa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B","71451786A","25603","Pare","70647371W","c/ de l'aviador Adrià Padilla Piñol","L'Armentera","Albanyà","41244","Mare","78050679M","c/ de l'aviador Adrià Padilla Piñol","L'Armentera","Albanyà","67972"
"1","49182582990","Soriano Medina, Marina","22/11/2009","Egea Serrano, Antonio","+34 XXXXXXX","+34 XXXXXXX","antonio@mailintaor.com","Cabello Pons, Aina","+34 XXXXZZZZ","+34 XXXXLLL","aina@mailintaor.com","c/ de l'aviador Aina Cabello Pons","L'Armentera","Albanyà","marina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","76578280N","03633","Mare","75458025Y","c/ de l'aviador Aina Cabello Pons","L'Armentera","Albanyà","70867","Mare","70600793A","c/ de l'aviador Aina Cabello Pons","L'Armentera","Albanyà","93231"
"1","17768294009","Bautista Marquez, Aitor","22/04/2012","Busquets Linares, Pol","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Peña Santamaria, Alan","+34 XXXXZZZZ","+34 XXXXLLL","alan@mailintaor.com","c/ de l'aviador Alan Peña Santamaria","L'Armentera","Albanyà","aitor@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","79723235F","38636","Pare","77681975F","c/ de l'aviador Alan Peña Santamaria","L'Armentera","Albanyà","63341","Mare","77411440W","c/ de l'aviador Alan Peña Santamaria","L'Armentera","Albanyà","60501"
"1","23629349646","Sola Reina, Lucas","14/12/2009","Castaño Bueno, Jan","+34 XXXXXXX","+34 XXXXXXX","jan@mailintaor.com","Herrero Hernandez, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","miquel@mailintaor.com","c/ de l'aviador Miquel Herrero Hernandez","L'Armentera","Albanyà","lucas@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","77172701P","76092","Pare","71480142Y","c/ de l'aviador Miquel Herrero Hernandez","L'Armentera","Albanyà","89802","Pare","75736865D","c/ de l'aviador Miquel Herrero Hernandez","L'Armentera","Albanyà","13698"
"1","55678486085","Galvez Benito, Marta","21/05/2010","Lopez Colomer, Roger","+34 XXXXXXX","+34 XXXXXXX","roger@mailintaor.com","Lorente Sola, Nora","+34 XXXXZZZZ","+34 XXXXLLL","nora@mailintaor.com","c/ de l'aviador Nora Lorente Sola","L'Armentera","Albanyà","marta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","79379538G","38047","Mare","74583689B","c/ de l'aviador Nora Lorente Sola","L'Armentera","Albanyà","66971","Pare","77905358B","c/ de l'aviador Nora Lorente Sola","L'Armentera","Albanyà","01274"
"1","48432259953","Merino Ponce, Bernat","27/10/2008","Simon Tomas, Axel","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Guzman Mir, Mario","+34 XXXXZZZZ","+34 XXXXLLL","mario@mailintaor.com","c/ de l'aviador Mario Guzman Mir","L'Armentera","Albanyà","bernat@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","74690634M","83887","Mare","73353988Y","c/ de l'aviador Mario Guzman Mir","L'Armentera","Albanyà","86389","Mare","77990383A","c/ de l'aviador Mario Guzman Mir","L'Armentera","Albanyà","50997"
"1","20988560328","Garcia Padilla, Gabriel","11/03/2005","Hurtado Aguilera, Ainara","+34 XXXXXXX","+34 XXXXXXX","ainara@mailintaor.com","Nuñez Bravo, Noa","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Noa Nuñez Bravo","L'Armentera","Albanyà","gabriel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","70314383D","49293","Mare","70033800M","c/ de l'aviador Noa Nuñez Bravo","L'Armentera","Albanyà","62587","Pare","72406602P","c/ de l'aviador Noa Nuñez Bravo","L'Armentera","Albanyà","25474"
"1","41594152749","Izquierdo Calvo, Unai","14/10/2006","Prat Galan, Antonio","+34 XXXXXXX","+34 XXXXXXX","antonio@mailintaor.com","Escobar Iglesias, Víctor","+34 XXXXZZZZ","+34 XXXXLLL","victor@mailintaor.com","c/ de l'aviador Víctor Escobar Iglesias","L'Armentera","Albanyà","unai@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","75733947A","54063","Pare","70473066R","c/ de l'aviador Víctor Escobar Iglesias","L'Armentera","Albanyà","86292","Pare","70328457G","c/ de l'aviador Víctor Escobar Iglesias","L'Armentera","Albanyà","03639"
"1","73358299545","Serra Prieto, Nora","24/08/2011","Guzman Gimeno, Ian","+34 XXXXXXX","+34 XXXXXXX","ian@mailintaor.com","Colomer Borras, Izan","+34 XXXXZZZZ","+34 XXXXLLL","izan@mailintaor.com","c/ de l'aviador Izan Colomer Borras","L'Armentera","Albanyà","nora@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","78339828P","90757","Mare","78492782G","c/ de l'aviador Izan Colomer Borras","L'Armentera","Albanyà","14165","Pare","74574985G","c/ de l'aviador Izan Colomer Borras","L'Armentera","Albanyà","97255"
"1","89869311123","Arenas Rico, Jordi","12/09/2007","Estrada Marin, Laia","+34 XXXXXXX","+34 XXXXXXX","laia@mailintaor.com","Ribas Rey, Izan","+34 XXXXZZZZ","+34 XXXXLLL","izan@mailintaor.com","c/ de l'aviador Izan Ribas Rey","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","73879992G","32242","Pare","73146797D","c/ de l'aviador Izan Ribas Rey","L'Armentera","Albanyà","42695","Mare","79289676B","c/ de l'aviador Izan Ribas Rey","L'Armentera","Albanyà","84876"
"1","19460384201","Cardona Cortes, Arlet","27/11/2007","Garrido Bueno, Marta","+34 XXXXXXX","+34 XXXXXXX","marta@mailintaor.com","Serra Torres, Unai","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Unai Serra Torres","L'Armentera","Albanyà","arlet@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","70603295D","19669","Pare","70875032F","c/ de l'aviador Unai Serra Torres","L'Armentera","Albanyà","54218","Pare","70103254T","c/ de l'aviador Unai Serra Torres","L'Armentera","Albanyà","99727"
"1","61558628969","Alarcon Escobar, Ivet","25/12/2005","Cruz Sierra, Miguel","+34 XXXXXXX","+34 XXXXXXX","miguel@mailintaor.com","Soto Mata, Lluc","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Lluc Soto Mata","L'Armentera","Albanyà","ivet@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","70656195N","41280","Mare","70100581M","c/ de l'aviador Lluc Soto Mata","L'Armentera","Albanyà","80062","Pare","72695798Y","c/ de l'aviador Lluc Soto Mata","L'Armentera","Albanyà","52253"
"1","97526480066","Linares Leon, Miquel","23/09/2008","Benito Guerra, Max","+34 XXXXXXX","+34 XXXXXXX","max@mailintaor.com","Pascual Leon, Leire","+34 XXXXZZZZ","+34 XXXXLLL","leire@mailintaor.com","c/ de l'aviador Leire Pascual Leon","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","73920858B","72077","Mare","76816564Y","c/ de l'aviador Leire Pascual Leon","L'Armentera","Albanyà","34432","Mare","70471170A","c/ de l'aviador Leire Pascual Leon","L'Armentera","Albanyà","27614"
"1","59344349408","Heredia Oliver, David","29/02/2012","Salazar Rodriguez, Lucas","+34 XXXXXXX","+34 XXXXXXX","lucas@mailintaor.com","Sancho Ordoñez, Aitor","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Aitor Sancho Ordoñez","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","76763869T","95163","Pare","77966513R","c/ de l'aviador Aitor Sancho Ordoñez","L'Armentera","Albanyà","73377","Mare","70085250R","c/ de l'aviador Aitor Sancho Ordoñez","L'Armentera","Albanyà","82120"
"1","20351849131","Lorenzo Moya, Iris","28/01/2010","Prat Lazaro, Paula","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Cortes Bernal, Gisela","+34 XXXXZZZZ","+34 XXXXLLL","gisela@mailintaor.com","c/ de l'aviador Gisela Cortes Bernal","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","73517425F","85327","Mare","73130977X","c/ de l'aviador Gisela Cortes Bernal","L'Armentera","Albanyà","11705","Mare","77045517A","c/ de l'aviador Gisela Cortes Bernal","L'Armentera","Albanyà","46801"
"1","30965723941","Arias Montoya, Adam","15/11/2005","Pallares Alba, Mario","+34 XXXXXXX","+34 XXXXXXX","mario@mailintaor.com","Valencia Royo, Adriana","+34 XXXXZZZZ","+34 XXXXLLL","adriana@mailintaor.com","c/ de l'aviador Adriana Valencia Royo","L'Armentera","Albanyà","adam@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","72382039W","51255","Pare","79765082F","c/ de l'aviador Adriana Valencia Royo","L'Armentera","Albanyà","70716","Mare","77681934M","c/ de l'aviador Adriana Valencia Royo","L'Armentera","Albanyà","61096"
"1","37087192042","Parra Rivas, Emma","24/05/2011","Lara Mora, Arnau","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Riera Ros, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","mariona@mailintaor.com","c/ de l'aviador Mariona Riera Ros","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","79885384F","01304","Pare","78231821M","c/ de l'aviador Mariona Riera Ros","L'Armentera","Albanyà","39828","Mare","72895692N","c/ de l'aviador Mariona Riera Ros","L'Armentera","Albanyà","72879"
"1","79540854012","Guerrero Benitez, Blanca","31/12/2010","Ros Llorens, Adam","+34 XXXXXXX","+34 XXXXXXX","adam@mailintaor.com","Espinosa Plaza, Alan","+34 XXXXZZZZ","+34 XXXXLLL","alan@mailintaor.com","c/ de l'aviador Alan Espinosa Plaza","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","76265894A","49006","Pare","70938792W","c/ de l'aviador Alan Espinosa Plaza","L'Armentera","Albanyà","00722","Pare","76025733G","c/ de l'aviador Alan Espinosa Plaza","L'Armentera","Albanyà","35149"
"1","96437409355","Espinosa Salvador, Noa","17/01/2012","Fuentes Iglesias, Javier","+34 XXXXXXX","+34 XXXXXXX","javier@mailintaor.com","Cuenca Montero, David","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador David Cuenca Montero","L'Armentera","Albanyà","noa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","72521883M","81250","Pare","75846645G","c/ de l'aviador David Cuenca Montero","L'Armentera","Albanyà","03606","Mare","78263544P","c/ de l'aviador David Cuenca Montero","L'Armentera","Albanyà","12602"
"1","41400799198","Borras Ortega, Ayman","26/10/2008","Serra Costa, Queralt","+34 XXXXXXX","+34 XXXXXXX","queralt@mailintaor.com","Pujol Lorente, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","didac@mailintaor.com","c/ de l'aviador Dídac Pujol Lorente","L'Armentera","Albanyà","ayman@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","73717951P","77971","Mare","76122844M","c/ de l'aviador Dídac Pujol Lorente","L'Armentera","Albanyà","39603","Pare","78091378R","c/ de l'aviador Dídac Pujol Lorente","L'Armentera","Albanyà","33751"
"1","55104142130","Benitez Ventura, Javier","17/12/2012","Bonet Ventura, Mar","+34 XXXXXXX","+34 XXXXXXX","mar@mailintaor.com","Carrillo Navarro, Adam","+34 XXXXZZZZ","+34 XXXXLLL","adam@mailintaor.com","c/ de l'aviador Adam Carrillo Navarro","L'Armentera","Albanyà","javier@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C","76173235P","18929","Mare","77625983Y","c/ de l'aviador Adam Carrillo Navarro","L'Armentera","Albanyà","71109","Pare","79306884F","c/ de l'aviador Adam Carrillo Navarro","L'Armentera","Albanyà","41954"
